epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.899,1.38828,1.4273,1.30186,0.63192,0.58952,0.61407,0.2891,1.80414,1.61304,1.72358,0.000551326,0.000551326,0.000551326
2,184.948,1.25789,0.9175,1.23671,0.73873,0.63559,0.65332,0.31391,1.78643,1.55193,1.68419,0.00109238,0.00109238,0.00109238
3,223.417,1.20868,0.86094,1.21156,0.72786,0.75294,0.76588,0.3894,1.71053,1.57254,1.50765,0.00161876,0.00161876,0.00161876
4,261.786,1.20212,0.84319,1.21576,0.806,0.77012,0.77154,0.39982,1.72352,1.27612,1.5596,0.00160099,0.00160099,0.00160099
5,301.576,1.09912,0.75612,1.1648,0.77493,0.76005,0.75318,0.40121,1.64534,1.37495,1.55955,0.00157898,0.00157898,0.00157898
6,340.806,1.02673,0.67997,1.12215,0.82223,0.79707,0.79719,0.42795,1.63867,1.12548,1.6205,0.00155698,0.00155698,0.00155698
7,379.965,0.99916,0.65942,1.11517,0.83471,0.8423,0.83968,0.45363,1.58533,0.95596,1.5009,0.00153497,0.00153497,0.00153497
8,418.518,0.92282,0.60586,1.07949,0.8482,0.83089,0.85221,0.45621,1.63145,1.02774,1.69197,0.00151297,0.00151297,0.00151297
9,458.369,0.89812,0.58921,1.06766,0.84193,0.88735,0.85863,0.49853,1.49174,0.87314,1.51195,0.00149096,0.00149096,0.00149096
10,496.408,0.86135,0.55761,1.04965,0.87966,0.87067,0.87266,0.50182,1.50432,0.83628,1.48878,0.00146896,0.00146896,0.00146896
11,534.143,0.82511,0.54036,1.03677,0.88335,0.87369,0.86738,0.49338,1.5516,0.90033,1.59874,0.00144696,0.00144696,0.00144696
12,573.337,0.81326,0.50933,1.02593,0.83002,0.85847,0.85479,0.4954,1.53603,0.92228,1.60873,0.00142495,0.00142495,0.00142495
13,611.966,0.79388,0.50732,1.02245,0.84139,0.86551,0.83832,0.47146,1.537,0.91006,1.59868,0.00140295,0.00140295,0.00140295
14,648.836,0.77833,0.48907,1.01508,0.88526,0.87193,0.87683,0.52668,1.4894,0.83788,1.55856,0.00138094,0.00138094,0.00138094
15,686.818,0.73819,0.46808,0.99399,0.87283,0.87747,0.86994,0.52002,1.53421,0.84913,1.47414,0.00135894,0.00135894,0.00135894
16,724.926,0.73412,0.46375,0.99053,0.8863,0.85367,0.86479,0.52475,1.51565,0.87346,1.52357,0.00133693,0.00133693,0.00133693
17,761.431,0.71011,0.44861,0.9836,0.8861,0.86529,0.86716,0.51215,1.47588,0.83975,1.53514,0.00131493,0.00131493,0.00131493
18,799.199,0.69122,0.44195,0.97329,0.86745,0.84017,0.85237,0.50116,1.53086,0.92537,1.45661,0.00129293,0.00129293,0.00129293
