epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.309,1.65683,3.02996,1.55366,0.60776,0.44925,0.51656,0.23849,2.03839,2.38514,1.95165,0.000540649,0.000540649,0.000540649
2,128.775,1.15255,0.94844,1.16814,0.3603,0.34462,0.3224,0.15768,2.16283,8.95887,2.24377,0.00107461,0.00107461,0.00107461
3,138.877,1.00341,0.70312,1.08704,0.57186,0.40366,0.50617,0.22658,2.07718,4.48357,2.16005,0.00158656,0.00158656,0.00158656
4,147.973,0.93391,0.62558,1.05147,0.52328,0.46915,0.44527,0.18506,2.10053,3.36141,2.23602,0.00156798,0.00156798,0.00156798
5,156.23,0.85014,0.52024,1.00289,0.72558,0.64102,0.6841,0.36331,1.80864,2.4108,1.92419,0.00153497,0.00153497,0.00153497
6,164.4,0.80106,0.49202,0.97264,0.75216,0.61962,0.65123,0.33196,1.85955,1.90292,1.96852,0.00150197,0.00150197,0.00150197
7,172.658,0.74278,0.45842,0.94519,0.73931,0.66031,0.66924,0.35751,1.84242,1.78797,2.00052,0.00146896,0.00146896,0.00146896
8,180.704,0.69735,0.41542,0.91829,0.77249,0.58017,0.64454,0.34433,1.82294,1.97165,1.96976,0.00143595,0.00143595,0.00143595
9,188.827,0.66779,0.40244,0.91204,0.81853,0.63893,0.67566,0.37982,1.85536,2.04727,2.03431,0.00140295,0.00140295,0.00140295
10,196.985,0.64372,0.38691,0.90451,0.82958,0.6166,0.67989,0.3828,1.88128,2.22793,2.06817,0.00136994,0.00136994,0.00136994
11,205.173,0.61054,0.37388,0.89147,0.80703,0.62265,0.66309,0.35662,1.84885,1.97092,2.09196,0.00133693,0.00133693,0.00133693
12,213.148,0.57471,0.35368,0.87795,0.85186,0.62758,0.67308,0.37143,1.80476,1.87467,1.97212,0.00130393,0.00130393,0.00130393
13,221.339,0.5493,0.34317,0.86297,0.81918,0.69555,0.74327,0.4127,1.76793,1.90123,1.96923,0.00127092,0.00127092,0.00127092
14,229.565,0.53049,0.3255,0.8607,0.80447,0.67986,0.72258,0.38969,1.82769,1.98087,1.98339,0.00123791,0.00123791,0.00123791
15,237.358,0.52416,0.32426,0.85824,0.83268,0.61386,0.68825,0.37742,1.9216,2.38436,2.14513,0.00120491,0.00120491,0.00120491
16,245.393,0.48802,0.31073,0.85064,0.82624,0.66727,0.71519,0.38494,1.82166,1.92028,2.01441,0.0011719,0.0011719,0.0011719
17,253.319,0.47591,0.30586,0.84279,0.80804,0.60737,0.69192,0.39323,1.8811,2.55112,2.18093,0.00113889,0.00113889,0.00113889
18,261.051,0.46488,0.30062,0.83479,0.83573,0.55454,0.66962,0.39114,1.83911,2.91736,2.09593,0.00110589,0.00110589,0.00110589
19,269.157,0.44768,0.2927,0.83341,0.81029,0.62553,0.69372,0.39865,1.75988,2.22631,1.9639,0.00107288,0.00107288,0.00107288
20,277.141,0.44034,0.28069,0.82986,0.79118,0.62972,0.68546,0.3736,1.85439,2.29466,2.16057,0.00103987,0.00103987,0.00103987
21,285.136,0.42639,0.2764,0.82249,0.74886,0.59557,0.63985,0.34304,1.91655,2.43179,2.19988,0.00100687,0.00100687,0.00100687
22,293.138,0.4036,0.27059,0.81415,0.79891,0.60247,0.66818,0.37471,1.86123,2.51995,2.15664,0.000973861,0.000973861,0.000973861
23,301.091,0.38835,0.26058,0.81224,0.8345,0.60007,0.69455,0.38264,1.86111,2.5497,2.10621,0.000940855,0.000940855,0.000940855
24,308.73,0.3669,0.25439,0.81861,0.84818,0.58976,0.68938,0.39871,1.82495,2.63487,2.12069,0.000907848,0.000907848,0.000907848
25,316.556,0.38063,0.25127,0.81422,0.84109,0.56639,0.68889,0.4119,1.82624,2.83389,2.07705,0.000874842,0.000874842,0.000874842
26,324.725,0.35825,0.23767,0.80655,0.85098,0.58209,0.69311,0.403,1.83239,2.71153,2.10149,0.000841835,0.000841835,0.000841835
27,332.584,0.34188,0.22962,0.8025,0.85816,0.60556,0.7104,0.42468,1.76183,2.49604,2.0464,0.000808828,0.000808828,0.000808828
28,340.649,0.34013,0.22989,0.80345,0.72112,0.65918,0.70635,0.42381,1.73822,2.56092,1.99269,0.000775822,0.000775822,0.000775822
29,348.631,0.32967,0.2256,0.79425,0.84266,0.64826,0.70668,0.42301,1.72058,2.11047,1.98332,0.000742815,0.000742815,0.000742815
30,356.823,0.33494,0.22505,0.80505,0.85377,0.61394,0.7174,0.41794,1.76459,2.3958,2.01418,0.000709809,0.000709809,0.000709809
31,364.598,0.30753,0.21282,0.7959,0.75279,0.66207,0.71374,0.42929,1.75462,2.51574,2.02419,0.000676802,0.000676802,0.000676802
32,372.565,0.31209,0.21186,0.79321,0.75315,0.63016,0.70328,0.42472,1.76235,2.71132,2.10914,0.000643795,0.000643795,0.000643795
33,380.324,0.30176,0.20921,0.79806,0.78318,0.60819,0.69483,0.42085,1.78149,2.80349,2.08352,0.000610789,0.000610789,0.000610789
34,388.724,0.27351,0.19774,0.78316,0.82855,0.58906,0.69693,0.41537,1.78838,2.6488,2.05334,0.000577782,0.000577782,0.000577782
35,397.527,0.28407,0.20413,0.79217,0.84739,0.5808,0.68913,0.41432,1.78871,2.73339,2.06505,0.000544776,0.000544776,0.000544776
36,406.195,0.29295,0.2026,0.78858,0.8426,0.58405,0.69119,0.40689,1.84253,2.68315,2.17135,0.000511769,0.000511769,0.000511769
37,414.953,0.27504,0.19621,0.78734,0.82174,0.62256,0.71556,0.41557,1.81874,2.54483,2.12584,0.000478762,0.000478762,0.000478762
38,423.67,0.28092,0.19527,0.79668,0.76681,0.6606,0.71744,0.42113,1.80701,2.53343,2.12615,0.000445756,0.000445756,0.000445756
39,432.476,0.24334,0.17963,0.78018,0.78821,0.65126,0.71235,0.432,1.76272,2.67036,2.08109,0.000412749,0.000412749,0.000412749
