epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,565.017,2.00901,4.24715,1.7436,0.6553,0.5803,0.603,0.30412,1.94764,2.12839,1.70175,0.00028339,0.00028339,0.00028339
2,586.968,1.40434,1.3946,1.28359,0.63445,0.6726,0.66073,0.33061,1.84043,2.26517,1.87908,0.000580562,0.000580562,0.000580562
3,606.367,1.32516,1.08225,1.22953,0.58242,0.39993,0.3699,0.16284,2.35109,3.84208,2.57199,0.000874763,0.000874763,0.000874763
4,625.512,1.23716,0.99368,1.19812,0.50845,0.6503,0.56828,0.25483,2.0293,3.36022,2.0667,0.00116599,0.00116599,0.00116599
5,640.78,1.25557,0.94743,1.21012,0.33092,0.48679,0.22053,0.06711,2.68171,4.39346,2.6608,0.00145425,0.00145425,0.00145425
6,689.429,1.24235,0.95759,1.18695,0.70066,0.22325,0.23406,0.06361,2.62886,9.88788,2.77074,0.00162574,0.00162574,0.00162574
7,735.291,1.24006,0.90142,1.20264,0.52915,0.53193,0.4247,0.15207,2.42776,4.26233,2.46677,0.00161749,0.00161749,0.00161749
8,747.166,1.20649,0.88326,1.17609,0.5131,0.49982,0.49936,0.20093,2.30213,2.63902,2.33468,0.00160924,0.00160924,0.00160924
9,759.508,1.13552,0.80349,1.1417,0.65696,0.62572,0.64903,0.29368,2.0848,1.92054,2.07019,0.00160099,0.00160099,0.00160099
10,771.511,1.05901,0.75825,1.10113,0.71781,0.47782,0.59922,0.3013,2.00219,2.2255,1.98111,0.00159274,0.00159274,0.00159274
11,783.574,1.01679,0.7319,1.08424,0.64319,0.5203,0.56412,0.26773,1.98003,2.7776,1.9719,0.00158448,0.00158448,0.00158448
12,795.305,1.00131,0.72184,1.08654,0.81476,0.70057,0.75482,0.39847,1.84642,1.32187,1.81302,0.00157623,0.00157623,0.00157623
13,806.97,0.98998,0.67912,1.07778,0.74044,0.62236,0.63626,0.33174,1.94191,1.50712,2.01697,0.00156798,0.00156798,0.00156798
14,818.561,0.96996,0.67878,1.0603,0.74299,0.66369,0.69104,0.35899,1.87852,1.31861,1.86118,0.00155973,0.00155973,0.00155973
15,830.364,0.93579,0.67206,1.04483,0.78641,0.74618,0.75989,0.3809,1.87167,1.2619,1.85414,0.00155148,0.00155148,0.00155148
16,842.38,0.91316,0.62971,1.02479,0.76966,0.72213,0.73843,0.36966,1.84813,1.30915,1.87209,0.00154323,0.00154323,0.00154323
17,854.07,0.89984,0.61314,1.0218,0.81063,0.7318,0.76324,0.38725,1.79719,1.26532,1.80304,0.00153497,0.00153497,0.00153497
18,866.07,0.86041,0.61946,1.01822,0.80465,0.78974,0.78919,0.42921,1.73019,1.14755,1.79522,0.00152672,0.00152672,0.00152672
19,882.651,0.84546,0.59814,0.99936,0.81663,0.79327,0.77821,0.43435,1.73556,1.12637,1.82664,0.00151847,0.00151847,0.00151847
